source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Campaign_13,31,user_1218,Protein Powder,17-07-2025,2,262.67
Instagram,Campaign_16,25,user_4062,Multivitamin,30-06-2025,4,173.9
Instagram,Campaign_11,59,user_2279,Protein Powder,12-03-2025,2,284.24
YouTube,Campaign_13,20,user_3304,Multivitamin,29-06-2025,4,233.21
YouTube,Campaign_19,17,user_3671,Protein Powder,14-03-2025,4,171.71
Instagram,Campaign_16,15,user_146,Protein Powder,07-04-2025,4,37.2
Twitter,Campaign_18,90,user_2,Protein Powder,15-02-2025,5,326.02
Twitter,Campaign_17,56,user_4607,Multivitamin,02-02-2025,4,476.17
Twitter,Campaign_12,80,user_445,Multivitamin,25-03-2025,3,288.87
YouTube,Campaign_20,24,user_4915,Kids Shake,01-02-2025,3,363.64
Twitter,Campaign_4,7,user_799,Multivitamin,19-07-2025,3,190.47
Instagram,Campaign_10,9,user_4487,Omega-3,21-01-2025,1,41.97
Instagram,Campaign_6,40,user_4034,Multivitamin,06-04-2025,1,142.06
Twitter,Campaign_7,33,user_1537,Protein Powder,10-04-2025,2,239.38
Instagram,Campaign_7,91,user_2769,Protein Powder,04-04-2025,1,464.78
Twitter,Campaign_19,79,user_1010,Kids Shake,24-03-2025,5,478.97
Twitter,Campaign_5,23,user_4087,Protein Powder,06-03-2025,1,285.55
Instagram,Campaign_14,34,user_4794,Kids Shake,11-03-2025,2,352.07
Instagram,Campaign_6,84,user_1052,Protein Powder,11-04-2025,5,310.96
Instagram,Campaign_11,34,user_4130,Kids Shake,03-04-2025,5,459.64
Twitter,Campaign_8,90,user_2242,Kids Shake,23-04-2025,3,237.37
Twitter,Campaign_5,32,user_1132,Kids Shake,15-02-2025,5,163.48
YouTube,Campaign_18,73,user_2572,Multivitamin,29-05-2025,2,319.6
YouTube,Campaign_10,78,user_2829,Multivitamin,03-02-2025,2,261.87
YouTube,Campaign_11,93,user_946,Omega-3,26-02-2025,4,299.75
Instagram,Campaign_14,92,user_4374,Omega-3,02-04-2025,1,270.91
Twitter,Campaign_1,38,user_3121,Multivitamin,06-07-2025,1,115.95
YouTube,Campaign_6,46,user_2348,Omega-3,12-06-2025,1,351.49
Instagram,Campaign_10,15,user_1672,Protein Powder,19-04-2025,4,69.19
YouTube,Campaign_18,53,user_1838,Kids Shake,20-05-2025,5,396.47
YouTube,Campaign_10,81,user_385,Kids Shake,11-04-2025,4,479.22
YouTube,Campaign_11,93,user_4524,Protein Powder,16-07-2025,3,117.48
Instagram,Campaign_15,28,user_1848,Omega-3,19-02-2025,5,374.46
Twitter,Campaign_7,32,user_1586,Omega-3,27-03-2025,2,492.06
Instagram,Campaign_3,94,user_1532,Multivitamin,10-03-2025,1,201.06
YouTube,Campaign_14,51,user_2287,Omega-3,16-06-2025,2,300.31
YouTube,Campaign_9,53,user_47,Omega-3,22-03-2025,2,39.17
Twitter,Campaign_11,67,user_4890,Protein Powder,09-02-2025,5,424.71
Twitter,Campaign_10,77,user_4019,Omega-3,01-07-2025,3,272.19
Instagram,Campaign_6,99,user_4265,Protein Powder,12-03-2025,2,219.65
Twitter,Campaign_18,41,user_3305,Protein Powder,21-04-2025,2,444.03
Twitter,Campaign_11,56,user_2713,Omega-3,05-05-2025,2,476.15
Instagram,Campaign_20,31,user_4346,Kids Shake,26-02-2025,1,75.07
Twitter,Campaign_12,2,user_3651,Multivitamin,05-02-2025,5,460.93
YouTube,Campaign_8,12,user_327,Omega-3,13-04-2025,1,205.22
Twitter,Campaign_18,41,user_2317,Protein Powder,09-03-2025,3,266.87
Instagram,Campaign_17,91,user_3651,Kids Shake,08-07-2025,3,451.18
Instagram,Campaign_7,59,user_2625,Protein Powder,25-06-2025,2,486.38
Instagram,Campaign_18,58,user_4369,Protein Powder,09-02-2025,1,121.18
Twitter,Campaign_7,77,user_3476,Protein Powder,28-05-2025,5,417.8
YouTube,Campaign_14,73,user_591,Multivitamin,13-07-2025,4,364.1
YouTube,Campaign_2,43,user_717,Protein Powder,06-07-2025,2,401.22
Twitter,Campaign_18,19,user_578,Multivitamin,14-05-2025,4,206.26
Twitter,Campaign_13,19,user_3548,Omega-3,15-07-2025,4,343.18
Twitter,Campaign_18,11,user_49,Protein Powder,20-02-2025,1,356.42
Twitter,Campaign_3,68,user_2931,Protein Powder,06-05-2025,3,311.15
Instagram,Campaign_10,25,user_3586,Kids Shake,09-04-2025,1,247.51
Twitter,Campaign_18,22,user_1802,Multivitamin,10-04-2025,5,161.59
Twitter,Campaign_5,45,user_2442,Omega-3,17-07-2025,5,439.89
Twitter,Campaign_5,89,user_1010,Protein Powder,18-07-2025,5,306.39
Instagram,Campaign_18,13,user_4486,Protein Powder,02-05-2025,2,379.18
Twitter,Campaign_12,5,user_1735,Kids Shake,04-02-2025,5,88.38
Twitter,Campaign_6,85,user_1809,Omega-3,31-05-2025,1,107.05
YouTube,Campaign_19,95,user_446,Kids Shake,04-02-2025,5,55.11
Twitter,Campaign_3,1,user_2054,Protein Powder,30-05-2025,5,253.85
Instagram,Campaign_11,92,user_2926,Multivitamin,29-01-2025,2,68.02
Twitter,Campaign_20,41,user_572,Multivitamin,29-04-2025,4,236.31
Twitter,Campaign_20,5,user_2505,Multivitamin,25-02-2025,5,194.96
Twitter,Campaign_11,56,user_3509,Multivitamin,18-07-2025,3,138.16
Twitter,Campaign_8,45,user_3573,Omega-3,18-04-2025,2,346.2
YouTube,Campaign_11,20,user_3932,Kids Shake,27-03-2025,3,391.89
YouTube,Campaign_16,95,user_4520,Protein Powder,05-06-2025,5,59.35
Twitter,Campaign_9,56,user_1147,Multivitamin,13-05-2025,1,369.16
YouTube,Campaign_1,46,user_4155,Protein Powder,21-02-2025,5,214.46
Twitter,Campaign_19,41,user_1743,Protein Powder,28-02-2025,3,280.87
YouTube,Campaign_18,93,user_3868,Multivitamin,17-04-2025,4,127.19
Instagram,Campaign_19,66,user_2384,Multivitamin,23-03-2025,5,265
Twitter,Campaign_13,6,user_2981,Protein Powder,31-01-2025,2,427.03
YouTube,Campaign_20,75,user_1359,Multivitamin,27-03-2025,2,105.99
YouTube,Campaign_19,43,user_1198,Kids Shake,19-04-2025,1,125.03
YouTube,Campaign_16,61,user_1899,Protein Powder,13-05-2025,3,132.33
Instagram,Campaign_7,42,user_4243,Omega-3,11-04-2025,4,460.59
Twitter,Campaign_2,70,user_327,Omega-3,23-06-2025,5,324.11
YouTube,Campaign_9,51,user_2158,Multivitamin,14-04-2025,4,195.34
YouTube,Campaign_3,17,user_4233,Omega-3,14-04-2025,2,267.86
Twitter,Campaign_12,3,user_2827,Kids Shake,18-03-2025,5,23.17
Instagram,Campaign_5,96,user_3604,Multivitamin,22-05-2025,1,266.98
Twitter,Campaign_9,68,user_1733,Multivitamin,02-06-2025,2,193.87
Twitter,Campaign_4,23,user_1887,Kids Shake,26-04-2025,1,251.13
Instagram,Campaign_16,28,user_3925,Multivitamin,18-02-2025,2,330.68
Instagram,Campaign_14,58,user_184,Multivitamin,08-07-2025,2,295.27
Twitter,Campaign_6,36,user_1104,Protein Powder,23-02-2025,2,46.84
Twitter,Campaign_9,70,user_1475,Kids Shake,16-02-2025,5,326.06
Instagram,Campaign_10,9,user_703,Multivitamin,27-03-2025,5,496.53
Instagram,Campaign_16,16,user_1398,Multivitamin,05-04-2025,5,88.5
Instagram,Campaign_19,88,user_1490,Omega-3,07-06-2025,3,462.73
YouTube,Campaign_20,75,user_4839,Protein Powder,22-05-2025,4,205.02
Twitter,Campaign_4,79,user_136,Multivitamin,08-03-2025,5,348.5
YouTube,Campaign_5,97,user_4961,Protein Powder,04-06-2025,4,452.77
YouTube,Campaign_20,46,user_320,Protein Powder,26-06-2025,4,336.51
YouTube,Campaign_20,52,user_4418,Protein Powder,27-01-2025,4,270.58
YouTube,Campaign_12,21,user_356,Kids Shake,22-05-2025,4,398.99
YouTube,Campaign_13,78,user_2872,Protein Powder,02-04-2025,2,142.17
Instagram,Campaign_8,42,user_687,Omega-3,16-02-2025,5,216.15
Instagram,Campaign_7,40,user_45,Protein Powder,22-02-2025,5,76.56
Twitter,Campaign_1,98,user_3073,Multivitamin,24-01-2025,3,216.25
Instagram,Campaign_4,35,user_1268,Kids Shake,03-02-2025,5,141.74
Twitter,Campaign_18,48,user_3470,Omega-3,13-02-2025,3,496.06
Instagram,Campaign_13,86,user_1669,Kids Shake,28-02-2025,5,251.58
Instagram,Campaign_12,40,user_4581,Kids Shake,16-05-2025,3,297.27
Twitter,Campaign_13,8,user_1132,Protein Powder,22-05-2025,4,395.89
Twitter,Campaign_6,67,user_822,Multivitamin,11-03-2025,4,397.32
Twitter,Campaign_18,38,user_427,Multivitamin,11-04-2025,1,406.1
YouTube,Campaign_5,20,user_3864,Kids Shake,27-06-2025,1,146.28
YouTube,Campaign_12,54,user_656,Protein Powder,12-04-2025,4,314.7
Instagram,Campaign_17,28,user_2347,Protein Powder,05-06-2025,4,230.71
YouTube,Campaign_7,61,user_4245,Omega-3,31-05-2025,1,396.3
Instagram,Campaign_17,60,user_4226,Multivitamin,12-02-2025,2,343.53
YouTube,Campaign_12,71,user_1960,Protein Powder,09-06-2025,1,498.47
Twitter,Campaign_13,41,user_2893,Kids Shake,07-04-2025,5,116.15
Instagram,Campaign_1,88,user_563,Protein Powder,01-03-2025,3,368.55
YouTube,Campaign_18,17,user_4776,Omega-3,22-04-2025,3,128.62
Instagram,Campaign_7,57,user_3726,Kids Shake,22-02-2025,1,145.33
YouTube,Campaign_14,24,user_4148,Protein Powder,26-02-2025,1,261.52
Instagram,Campaign_11,15,user_959,Omega-3,04-03-2025,5,140.07
Instagram,Campaign_15,13,user_3090,Kids Shake,18-05-2025,3,481.39
Instagram,Campaign_15,26,user_3775,Protein Powder,18-03-2025,1,143.75
Instagram,Campaign_13,9,user_1806,Multivitamin,30-04-2025,4,478.61
Twitter,Campaign_17,70,user_4389,Protein Powder,21-01-2025,3,139.16
YouTube,Campaign_3,95,user_3269,Omega-3,30-06-2025,5,467.07
Instagram,Campaign_16,35,user_2572,Omega-3,25-05-2025,5,149.16
Instagram,Campaign_7,96,user_4088,Multivitamin,20-05-2025,2,438.92
Instagram,Campaign_7,28,user_1878,Multivitamin,17-05-2025,5,190.89
YouTube,Campaign_4,55,user_983,Protein Powder,27-01-2025,4,314.64
Twitter,Campaign_18,63,user_347,Kids Shake,15-04-2025,5,171.4
Twitter,Campaign_19,14,user_2251,Kids Shake,03-06-2025,5,154.53
Instagram,Campaign_8,49,user_4725,Multivitamin,06-07-2025,5,403.65
Twitter,Campaign_16,56,user_4430,Protein Powder,13-03-2025,3,208.98
YouTube,Campaign_6,69,user_3746,Protein Powder,22-01-2025,5,240.83
Instagram,Campaign_1,50,user_97,Multivitamin,13-04-2025,5,68.36
YouTube,Campaign_12,55,user_2128,Multivitamin,01-03-2025,3,133.83
Instagram,Campaign_16,91,user_2811,Omega-3,02-06-2025,4,223.49
YouTube,Campaign_14,46,user_3050,Omega-3,08-04-2025,3,236.35
Instagram,Campaign_19,10,user_1075,Multivitamin,24-06-2025,3,405.96
YouTube,Campaign_18,69,user_3541,Kids Shake,30-05-2025,2,404.02
Instagram,Campaign_5,26,user_3875,Protein Powder,04-06-2025,4,259.81
Instagram,Campaign_17,25,user_4375,Omega-3,17-03-2025,3,140.47
Twitter,Campaign_19,7,user_391,Kids Shake,24-06-2025,2,48.82
YouTube,Campaign_9,21,user_3904,Protein Powder,26-03-2025,3,144.69
Twitter,Campaign_12,38,user_4591,Omega-3,22-04-2025,1,217.65
YouTube,Campaign_12,29,user_4961,Multivitamin,22-02-2025,5,331.94
Instagram,Campaign_18,84,user_1430,Omega-3,20-04-2025,3,343.13
Instagram,Campaign_16,30,user_3662,Protein Powder,13-04-2025,5,157.53
Instagram,Campaign_5,82,user_1373,Omega-3,03-04-2025,5,294.39
Twitter,Campaign_3,18,user_649,Multivitamin,23-04-2025,2,170.47
Twitter,Campaign_10,77,user_2192,Kids Shake,11-05-2025,4,394.87
YouTube,Campaign_12,72,user_4809,Kids Shake,05-04-2025,2,108.27
Twitter,Campaign_1,1,user_1025,Multivitamin,31-01-2025,3,471.41
YouTube,Campaign_3,53,user_1726,Multivitamin,09-04-2025,1,65.87
YouTube,Campaign_16,17,user_4493,Protein Powder,13-07-2025,4,271.51
YouTube,Campaign_3,53,user_852,Omega-3,11-02-2025,2,60.47
YouTube,Campaign_13,72,user_2535,Multivitamin,17-05-2025,3,232.72
Twitter,Campaign_5,85,user_1076,Multivitamin,12-07-2025,1,338.5
Instagram,Campaign_11,60,user_3901,Kids Shake,03-03-2025,3,283.3
Instagram,Campaign_5,16,user_4418,Multivitamin,18-02-2025,5,239.14
Instagram,Campaign_19,16,user_3564,Omega-3,22-04-2025,4,279.04
Twitter,Campaign_3,68,user_3620,Omega-3,17-04-2025,4,144.71
Instagram,Campaign_10,91,user_87,Protein Powder,08-03-2025,2,185.06
Twitter,Campaign_16,56,user_4384,Protein Powder,24-01-2025,4,474.54
YouTube,Campaign_16,53,user_2455,Protein Powder,31-03-2025,3,306.56
Twitter,Campaign_1,77,user_4491,Omega-3,01-06-2025,4,443.44
Twitter,Campaign_14,41,user_3234,Multivitamin,08-06-2025,4,417.64
Twitter,Campaign_8,48,user_2155,Protein Powder,02-04-2025,2,267.97
YouTube,Campaign_20,12,user_2228,Omega-3,03-02-2025,5,408.23
YouTube,Campaign_14,83,user_1541,Protein Powder,03-06-2025,2,159.01
Instagram,Campaign_15,40,user_3710,Omega-3,21-01-2025,5,256.16
Twitter,Campaign_11,32,user_159,Multivitamin,07-07-2025,5,30.62
Twitter,Campaign_4,32,user_2312,Omega-3,17-06-2025,4,369.01
Instagram,Campaign_8,25,user_739,Multivitamin,16-07-2025,4,124.25
Twitter,Campaign_14,19,user_2553,Kids Shake,15-04-2025,4,354.53
Instagram,Campaign_2,82,user_2706,Protein Powder,12-06-2025,1,147.92
Twitter,Campaign_13,3,user_585,Kids Shake,03-06-2025,2,449.94
YouTube,Campaign_9,17,user_3126,Protein Powder,18-06-2025,2,204.7
Instagram,Campaign_15,16,user_2025,Protein Powder,30-05-2025,4,372.95
YouTube,Campaign_4,46,user_4270,Multivitamin,20-03-2025,4,347.09
Twitter,Campaign_10,11,user_2647,Multivitamin,08-02-2025,1,377.47
Instagram,Campaign_18,28,user_4268,Protein Powder,16-05-2025,4,326.49
Instagram,Campaign_7,40,user_2953,Protein Powder,30-01-2025,2,487.17
Instagram,Campaign_8,62,user_3557,Omega-3,16-07-2025,2,401.31
YouTube,Campaign_19,72,user_981,Kids Shake,18-05-2025,1,485.04
YouTube,Campaign_19,20,user_3894,Multivitamin,15-04-2025,1,139.39
Twitter,Campaign_16,90,user_749,Omega-3,09-02-2025,1,48.69
YouTube,Campaign_5,75,user_4394,Protein Powder,17-06-2025,4,131.68
YouTube,Campaign_18,71,user_2846,Kids Shake,31-05-2025,1,350.84
YouTube,Campaign_12,51,user_1104,Omega-3,09-07-2025,4,359.18
Instagram,Campaign_18,10,user_2415,Kids Shake,01-06-2025,5,109.58
Instagram,Campaign_12,49,user_2652,Kids Shake,10-05-2025,5,458.95
Twitter,Campaign_18,23,user_1314,Protein Powder,06-03-2025,2,235.7
Instagram,Campaign_9,99,user_4437,Omega-3,25-03-2025,1,392.44
Twitter,Campaign_17,63,user_3106,Multivitamin,15-07-2025,5,431.28
Instagram,Campaign_20,87,user_1957,Omega-3,03-07-2025,5,413.14
Instagram,Campaign_7,13,user_4294,Kids Shake,28-02-2025,2,314.26
Twitter,Campaign_11,45,user_3358,Omega-3,21-06-2025,1,271.14
Instagram,Campaign_3,87,user_359,Multivitamin,04-06-2025,1,117
